date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:14:18	79077/79077	---M--	200	added ('OK')	text/html	date:Fri,%2015%20Sep%202023%2013:40:56%20GMT	https://swigo.dexignzone.com/xhtml/index.html	E:/exe/swigo.dexignzone.com/xhtml/index.html	(from )
23:14:19	315/315	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2017%20Oct%202023%2016:14:19%20GMT	https://swigo.dexignzone.com/robots.txt		(from )
23:14:20	620/620	---M--	200	added ('OK')	image/png	date:Fri,%2015%20Sep%202023%2013:41:58%20GMT	https://swigo.dexignzone.com/xhtml/assets/images/favicon.png	E:/exe/swigo.dexignzone.com/xhtml/assets/images/favicon.png	(from https://swigo.dexignzone.com/xhtml/index.html)
23:14:20	57095/57095	---M--	200	added ('OK')	text/css	date:Tue,%2022%20Aug%202023%2010:06:59%20GMT	https://swigo.dexignzone.com/xhtml/assets/vendor/animate/animate.css	E:/exe/swigo.dexignzone.com/xhtml/assets/vendor/animate/animate.css	(from https://swigo.dexignzone.com/xhtml/index.html)
23:14:20	101502/101502	---M--	200	added ('OK')	image/png	date:Tue,%2018%20Jul%202023%2009:27:30%20GMT	https://swigo.dexignzone.com/xhtml/social-home.png	E:/exe/swigo.dexignzone.com/xhtml/social-home.png	(from https://swigo.dexignzone.com/xhtml/index.html)
23:14:22	5895/5895	---M--	200	added ('OK')	text/css	date:Tue,%2022%20Aug%202023%2010:07:12%20GMT	https://swigo.dexignzone.com/xhtml/assets/vendor/magnific-popup/magnific-popup.min.css	E:/exe/swigo.dexignzone.com/xhtml/assets/vendor/magnific-popup/magnific-popup.min.css	(from https://swigo.dexignzone.com/xhtml/index.html)
23:14:22	18431/18431	---M--	200	added ('OK')	text/css	date:Tue,%2022%20Aug%202023%2010:07:26%20GMT	https://swigo.dexignzone.com/xhtml/assets/vendor/swiper/swiper-bundle.min.css	E:/exe/swigo.dexignzone.com/xhtml/assets/vendor/swiper/swiper-bundle.min.css	(from https://swigo.dexignzone.com/xhtml/index.html)
23:14:23	11825/11825	---M--	200	added ('OK')	text/css	date:Tue,%2022%20Aug%202023%2010:09:10%20GMT	https://swigo.dexignzone.com/xhtml/assets/vendor/bootstrap-select/css/bootstrap-select.min.css	E:/exe/swigo.dexignzone.com/xhtml/assets/vendor/bootstrap-select/css/bootstrap-select.min.css	(from https://swigo.dexignzone.com/xhtml/index.html)
23:14:23	45897/45897	---M--	200	added ('OK')	text/css	date:Tue,%2022%20Aug%202023%2010:09:33%20GMT	https://swigo.dexignzone.com/xhtml/assets/vendor/tempus-dominus/css/tempus-dominus.min.css	E:/exe/swigo.dexignzone.com/xhtml/assets/vendor/tempus-dominus/css/tempus-dominus.min.css	(from https://swigo.dexignzone.com/xhtml/index.html)
23:14:23	18646/18646	---M--	200	added ('OK')	text/css	date:Tue,%2022%20Aug%202023%2010:07:21%20GMT	https://swigo.dexignzone.com/xhtml/assets/vendor/rangeslider/rangeslider.css	E:/exe/swigo.dexignzone.com/xhtml/assets/vendor/rangeslider/rangeslider.css	(from https://swigo.dexignzone.com/xhtml/index.html)
23:14:23	15722/15722	---M--	200	added ('OK')	text/css	date:Fri,%2015%20Sep%202023%2013:45:02%20GMT	https://swigo.dexignzone.com/xhtml/assets/vendor/switcher/switcher.css	E:/exe/swigo.dexignzone.com/xhtml/assets/vendor/switcher/switcher.css	(from https://swigo.dexignzone.com/xhtml/index.html)
23:14:24	2706/2706	---M--	200	added ('OK')	image/png	date:Fri,%2015%20Sep%202023%2013:42:01%20GMT	https://swigo.dexignzone.com/xhtml/assets/images/logo.png	E:/exe/swigo.dexignzone.com/xhtml/assets/images/logo.png	(from https://swigo.dexignzone.com/xhtml/index.html)
23:14:25	169286/169286	---M--	200	added ('OK')	image/gif	date:Fri,%2015%20Sep%202023%2013:41:59%20GMT	https://swigo.dexignzone.com/xhtml/assets/images/loading.gif	E:/exe/swigo.dexignzone.com/xhtml/assets/images/loading.gif	(from https://swigo.dexignzone.com/xhtml/index.html)
23:14:25	46182/46182	---M--	200	added ('OK')	text/html	date:Fri,%2015%20Sep%202023%2013:40:59%20GMT	https://swigo.dexignzone.com/xhtml/product-detail.html	E:/exe/swigo.dexignzone.com/xhtml/product-detail.html	(from https://swigo.dexignzone.com/xhtml/index.html)
23:14:26	28098/28098	---M--	200	added ('OK')	image/jpeg	date:Fri,%2015%20Sep%202023%2013:42:42%20GMT	https://swigo.dexignzone.com/xhtml/assets/images/shop/pic2.jpg	E:/exe/swigo.dexignzone.com/xhtml/assets/images/shop/pic2.jpg	(from https://swigo.dexignzone.com/xhtml/index.html)
23:14:26	21955/21955	---M--	200	added ('OK')	image/jpeg	date:Fri,%2015%20Sep%202023%2013:42:43%20GMT	https://swigo.dexignzone.com/xhtml/assets/images/shop/pic3.jpg	E:/exe/swigo.dexignzone.com/xhtml/assets/images/shop/pic3.jpg	(from https://swigo.dexignzone.com/xhtml/index.html)
